time,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,ahu_supply_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,clg_sp_offset,htg_sp_offset,occupied_clg_sp,occupied_htg_sp,unoccupied_clg_sp,unoccupied_htg_sp,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status,airflow_current_smooth,room_temp_smooth,supply_discharge_temp_smooth,thermostat_outside_temp_smooth,sensible_heat_in,sensible_heat_room,sensible_heat_in_smooth,sensible_heat_room_smooth,thermostat_room_temp_ave,room_temp_ave,thermostat_outside_temp_ave,supply_discharge_temp_ave,ahu_supply_temp_ave,htg_valve_position_ave,htg_valve_command_ave,airflow_desired_ave,airflow_current_ave,damper_position_ave,damper_command_ave,damper_integral_factor_ave,htg_signal_ave,clg_signal_ave,airflow_current_smooth_ave,room_temp_smooth_ave,supply_discharge_temp_smooth_ave,thermostat_outside_temp_smooth_ave,sensible_heat_in_ave,sensible_heat_room_ave,sensible_heat_in_smooth_ave,sensible_heat_room_smooth_ave
2021-04-24T08:00:00.0,69.5,69.6,49.0,57.4,55.3,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,413.0,1000.0,400.0,82.4210510253906,82.5185546875,0.0180000010877848,0.0,0.0,false,true,413.5999999999999,69.57428571428566,57.40857142857139,48.79999999999999,23706.2,28744.8,23744.18514285712,28775.924571428546,69.78571428571429,69.96428571428571,47.92857142857143,57.84285714285714,55.03571428571428,0.30075187342507487,0.6130027770996093,403.67801339285717,424.07142857142856,82.73684310913086,82.71989059448242,0.0180000010877848,0.6058600289481026,0.0,424.88571428571424,69.9663265306122,57.84061224489794,47.92857142857142,24533.342857142856,29671.264285714282,24580.289999999983,29729.49595918365
2021-04-24T08:15:00.0,69.0,69.3,50.0,78.2,54.8,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,30.0,34.0331802368164,604.199035644531,568.0,1000.0,400.0,88.1052627563477,88.0889511108398,0.0179999992251396,34.0331802368164,0.0,true,true,564.5999999999999,69.29999999999995,77.98571428571424,49.99999999999999,44417.6,39362.4,44030.73428571425,39126.77999999997,69.0,69.35555555555555,49.77777777777778,64.48888888888888,55.05555555555556,15.543859783146113,19.355504353841145,516.1330159505208,472.55555555555554,84.94736735026041,85.07796563042535,0.0168000004357762,19.36291164822049,0.0,473.59999999999985,69.3565079365079,64.47746031746027,49.77777777777778,30985.300000000003,32771.044444444444,30975.025587301567,32844.15663492061
2021-04-24T08:30:00.0,71.0,71.1,51.0,88.1,55.3,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,72.1052627563477,47.2158660888672,683.295166015625,814.0,1000.0,400.0,98.8421020507812,99.1801376342773,0.0144000016152859,47.2158660888672,0.0,true,true,801.1999999999998,71.05714285714282,87.55142857142852,50.999999999999986,71713.4,57875.399999999994,70146.2045714285,56930.982857142815,69.8,70.02,50.733333333333334,86.94,54.85999999999999,57.824561564127606,59.08723500569662,754.5234008789063,715.7333333333333,94.88421020507812,94.98475850423178,0.01776000112295154,59.08723500569662,0.0,713.9599999999998,70.01771428571425,86.92342857142852,50.73333333333333,62642.84666666667,50164.066666666666,62443.18342857138,50035.305790476144
2021-04-24T08:45:00.0,71.5,71.9,52.0,78.6,55.8,74.5,85.0,65.0,76.5,73.5,3.0,0.0,76.5,73.5,85.0,55.0,75.2631607055664,77.9075698852539,867.445434570313,1098.0,1000.0,400.0,96.8421020507812,96.3625564575195,0.018329493701458,77.9075698852539,0.0,true,true,966.1999999999998,71.89142857142853,80.45142857142852,51.99999999999999,86302.79999999999,78946.20000000001,77732.17028571422,69461.49828571423,71.4,71.56666666666668,51.86666666666667,87.66,55.080000000000005,52.7087720235189,52.468116251627606,714.8086832682292,746.2666666666667,94.70175323486328,94.58981628417969,0.01658196654170754,54.46811625162761,0.0,747.3066666666666,71.56952380952377,87.72799999999997,51.86666666666666,65113.933333333334,53414.19333333333,65366.78422857137,53489.235504761855
2021-04-24T09:00:00.0,73.0,73.0,53.0,84.2,55.2,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,99.3684234619141,91.5903396606445,949.542053222656,978.0,1000.0,400.0,89.8947372436523,89.9561080932617,0.0180000010877848,91.5903396606445,0.0,true,true,978.3999999999997,72.96571428571424,84.43142857142851,52.99999999999999,82347.6,71394.0,82607.70971428564,71389.6548571428,72.4,72.60666666666665,52.8,83.60666666666667,54.67333333333334,91.76140441894532,93.00802968343099,958.0481811523438,952.3333333333334,88.50526275634768,88.410085550944,0.017028269295891126,93.01136220296225,0.0,953.0399999999997,72.60495238095233,83.55923809523804,52.79999999999999,79561.25333333334,69146.43333333333,79604.89893333326,69196.64910476185
2021-04-24T09:15:00.0,73.5,73.6,53.0,79.9,54.7,75.0,85.0,65.0,77.0,74.0,3.0,0.0,77.0,74.0,85.0,55.0,100.0,100.0,1000.0,978.0,1000.0,400.0,90.5263137817383,90.7217407226562,0.0180000010877848,100.0,0.0,true,true,980.7999999999998,73.58285714285711,79.81428571428567,52.99999999999999,78142.20000000001,71980.79999999999,78281.85142857138,72170.06628571425,73.03333333333333,73.29333333333331,53.0,82.40666666666668,55.260000000000005,97.35438588460286,95.01418914794922,970.0851440429686,973.0,89.68421173095703,89.80469919840495,0.018000001087784802,95.01418914794922,0.0,972.9199999999997,73.29390476190471,82.39980952380948,52.99999999999999,80174.98,71313.87999999999,80162.50559999995,71308.66198095234
2021-04-24T09:30:00.0,73.5,73.9,54.0,85.0,54.8,77.0,85.0,65.0,79.0,76.0,3.0,0.0,79.0,76.0,85.0,55.0,100.0,100.0,1000.0,1007.0,1000.0,400.0,90.5263137817383,90.7217407226562,0.0180000010877848,100.0,0.0,true,true,1010.5999999999998,73.86571428571423,84.7171428571428,53.999999999999986,85595.0,74417.3,85615.14457142851,74648.69085714279,73.5,73.75999999999999,53.6,81.85333333333334,55.12,100.0,100.0,1000.0,1007.6,90.5263137817383,90.72174072265622,0.018000001087784802,100.0,0.0,1007.2799999999999,73.7588571428571,81.84533333333329,53.599999999999994,82471.50666666665,74321.34000000001,82437.13222857135,74296.61782857137
2021-04-24T09:45:00.0,74.0,74.2,54.0,80.3,55.5,76.0,85.0,65.0,78.0,75.0,3.0,0.0,78.0,75.0,85.0,55.0,100.0,100.0,1000.0,1003.0,1000.0,400.0,90.5263137817383,90.7217407226562,0.0180000010877848,100.0,0.0,true,true,1008.3999999999999,74.15714285714282,80.17142857142852,54.39999999999999,80540.9,74422.6,80844.86857142851,74780.06285714281,73.8,73.98666666666666,54.0,81.52666666666667,55.046666666666674,100.0,100.0,1000.0,1007.6666666666666,90.5263137817383,90.72174072265622,0.018000001087784802,100.0,0.0,1007.5999999999999,73.98666666666664,81.53752380952378,54.039999999999985,82154.03333333334,74553.98666666666,82159.07211428565,74548.96849523805
2021-04-24T10:00:00.0,73.5,73.9,55.0,89.4,55.2,72.5,85.0,65.0,74.5,71.5,3.0,0.0,74.5,71.5,85.0,55.0,70.7368392944336,61.4262619018555,768.557556152344,839.0,1000.0,400.0,82.9473648071289,82.9776077270508,0.0180000010877848,61.4262619018555,0.0,true,true,829.9999999999998,73.92571428571425,88.67142857142852,54.999999999999986,75006.6,62002.100000000006,73597.28571428565,61358.34285714281,73.96666666666667,74.11333333333336,55.0,83.68,54.96000000000001,84.15438639322916,80.91661020914714,885.499658203125,931.7333333333333,86.86315612792968,86.83956654866535,0.017280000696579638,81.31661020914713,0.0,930.0133333333331,74.11619047619043,83.66571428571424,54.959999999999994,77880.64666666668,69056.48666666666,77725.6656380952,68931.74327619042
2021-04-24T10:15:00.0,73.0,73.1,56.0,84.0,55.5,73.5,85.0,65.0,75.5,72.5,3.0,0.0,75.5,72.5,85.0,55.0,56.4210510253906,57.0849380493164,742.509643554687,735.0,1000.0,400.0,79.1578979492187,79.0730972290039,0.0179999992251396,57.0849380493164,0.0,true,true,734.9999999999999,73.06571428571424,84.10285714285709,55.999999999999986,61740.0,53728.49999999999,61815.599999999955,53703.29999999995,73.33333333333333,73.54666666666667,55.733333333333334,83.6266666666667,55.11333333333334,54.09122772216795,52.991483052571624,717.9488891601562,734.4666666666667,78.69473724365233,78.595529683431,0.0175200006614129,52.991483052571624,0.0,736.3733333333332,73.54380952380947,83.64666666666662,55.733333333333334,61503.69333333333,54022.91333333333,61672.8568380952,54161.32106666662
