time,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,ahu_supply_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,clg_sp_offset,htg_sp_offset,occupied_clg_sp,occupied_htg_sp,unoccupied_clg_sp,unoccupied_htg_sp,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status,airflow_current_smooth,room_temp_smooth,supply_discharge_temp_smooth,thermostat_outside_temp_smooth,sensible_heat_in,sensible_heat_room,sensible_heat_in_smooth,sensible_heat_room_smooth,thermostat_room_temp_ave,room_temp_ave,thermostat_outside_temp_ave,supply_discharge_temp_ave,ahu_supply_temp_ave,htg_valve_position_ave,htg_valve_command_ave,airflow_desired_ave,airflow_current_ave,damper_position_ave,damper_command_ave,damper_integral_factor_ave,htg_signal_ave,clg_signal_ave,airflow_current_smooth_ave,room_temp_smooth_ave,supply_discharge_temp_smooth_ave,thermostat_outside_temp_smooth_ave,sensible_heat_in_ave,sensible_heat_room_ave,sensible_heat_in_smooth_ave,sensible_heat_room_smooth_ave
2021-04-24T07:50:00.0,70.0,70.1,48.0,58.2,54.9,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,432.0,1000.0,400.0,83.0526351928711,82.9413604736328,0.0180000010877848,0.0,0.0,false,true,433.79999999999995,70.06571428571424,58.199999999999974,47.79999999999999,25142.4,30283.199999999997,25247.159999999985,30394.50685714283,70.0,70.2,47.4,58.6,55.67999999999999,0.8421052455902096,1.7164077758789058,410.2984375,430.8,83.0526351928711,82.9413604736328,0.0180000010877848,1.6964080810546875,0.0,433.67999999999995,70.20399999999997,58.590285714285685,47.39999999999999,25244.52,30241.98,25409.718857142838,30446.24765714283
2021-04-24T07:55:00.0,69.5,69.9,48.0,57.3,54.4,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,413.0,1000.0,400.0,82.4210510253906,82.5185546875,0.0180000010877848,0.0,0.0,false,true,416.19999999999993,69.87428571428568,57.257142857142824,47.99999999999999,23664.899999999998,28868.7,23830.42285714284,29081.677714285695,69.8,69.96,48.0,57.54,54.44,0.0,0.0,400.0,424.4,82.67368469238279,82.65948944091795,0.0180000010877848,0.0,0.0,424.51999999999987,69.96171428571425,57.53828571428568,47.99999999999999,24422.159999999996,29691.48,24427.476914285697,29700.44194285712
2021-04-24T08:00:00.0,69.5,69.6,49.0,57.4,55.3,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,413.0,1000.0,400.0,82.4210510253906,82.5185546875,0.0180000010877848,0.0,0.0,false,true,413.5999999999999,69.57428571428566,57.40857142857139,48.79999999999999,23706.2,28744.8,23744.18514285712,28775.924571428546,69.5,69.675,48.5,57.275,54.974999999999994,0.0,0.0,400.0,415.25,82.4210510253906,82.5185546875,0.0180000010877848,0.0,0.0,414.3499999999999,69.67499999999997,57.281428571428535,48.49999999999999,23783.35,28932.600000000002,23734.52028571427,28869.873857142837
2021-04-24T08:10:00.0,69.0,69.4,50.0,57.5,55.1,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,0.210526317358017,24.033332824707,544.199951171875,416.0,1000.0,400.0,82.4210510253906,82.557731628418,0.0144000016152859,24.0666656494141,0.0,true,true,436.19999999999993,69.37428571428568,57.11428571428568,49.8,23920.0,28870.4,24913.25142857141,30261.063428571408,69.0,69.42500000000001,49.5,57.5,55.3,0.05263157933950425,6.00833320617675,436.04998779296875,413.75,82.4210510253906,82.52834892272949,0.017100001219660075,6.016666412353525,0.0,420.4999999999999,69.42285714285711,57.37785714285711,49.5,23790.625,28724.5,24125.934571428552,29192.008428571407
2021-04-24T08:15:00.0,69.0,69.3,50.0,78.2,54.8,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,30.0,34.0331802368164,604.199035644531,568.0,1000.0,400.0,88.1052627563477,88.0889511108398,0.0179999992251396,34.0331802368164,0.0,true,true,564.5999999999999,69.29999999999995,77.98571428571424,49.99999999999999,44417.6,39362.4,44030.73428571425,39126.77999999997,69.0,69.3,50.0,70.08,54.86,27.9368423461914,30.033241271972663,580.1994384765624,519.6,86.96842041015627,87.117658996582,0.016559999808669103,30.03990783691406,0.0,516.0799999999999,69.30342857142853,70.15714285714282,49.99999999999999,36741.04,36008.28,36454.29839999998,35765.875199999966
2021-04-24T08:20:00.0,69.5,69.6,51.0,80.3,54.6,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,36.9473686218262,61.0829010009766,766.497375488281,612.0,1000.0,400.0,90.0,89.9652786254883,0.0180000010877848,61.0829010009766,0.0,true,true,637.9999999999999,69.59999999999995,81.6371428571428,50.599999999999994,49143.6,42595.2,52084.4971428571,44404.79999999996,69.2,69.44000000000001,50.2,80.2,54.46,35.705262756347636,42.13470764160158,652.8082275390625,598.2,89.62105255126954,89.63707580566408,0.0180000010877848,42.13470764160158,0.0,603.64,69.4365714285714,80.38514285714281,50.239999999999995,47979.0,41540.81999999999,48534.12799999995,41917.168114285676
2021-04-24T08:25:00.0,70.0,70.3,51.0,93.9,54.9,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,67.684211730957,70.0826721191406,820.496032714844,786.0,1000.0,400.0,97.5789489746094,97.8527526855469,0.0180000010877848,70.0826721191406,0.0,true,true,786.7999999999998,70.24857142857138,93.88285714285709,50.999999999999986,73805.40000000001,55255.799999999996,73867.03199999995,55271.57599999995,69.7,69.94,51.0,91.35999999999999,54.85999999999999,65.5368423461914,67.682763671875,806.09658203125,735.8,96.3157913208008,96.53050384521484,0.0180000010877848,67.682763671875,0.0,731.3199999999998,69.93657142857138,91.15942857142852,50.959999999999994,67371.9,51473.259999999995,66800.6187428571,51155.4691428571
2021-04-24T08:30:00.0,71.0,71.1,51.0,88.1,55.3,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,72.1052627563477,47.2158660888672,683.295166015625,814.0,1000.0,400.0,98.8421020507812,99.1801376342773,0.0144000016152859,47.2158660888672,0.0,true,true,801.1999999999998,71.05714285714282,87.55142857142852,50.999999999999986,71713.4,57875.399999999994,70146.2045714285,56930.982857142815,70.5,70.67999999999999,51.0,89.25999999999999,55.260000000000005,72.23157958984376,67.44423370361328,804.6653930664063,813.2,98.71578674316402,98.78669586181641,0.01728000119328502,67.44423370361328,0.0,806.9199999999998,70.67999999999996,89.22571428571423,50.999999999999986,72577.63999999998,57478.119999999995,71994.80354285709,57033.28011428567
2021-04-24T08:35:00.0,71.5,71.6,52.0,88.9,55.2,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,45.3684196472168,40.4075469970703,642.445251464844,678.0,1000.0,400.0,92.5263137817383,92.2691192626953,0.0179999992251396,40.4075469970703,0.0,true,true,691.5999999999999,71.58285714285711,88.71999999999996,51.99999999999999,60274.200000000004,48544.799999999996,61358.751999999964,49506.70399999997,71.2,71.38,51.6,86.72,55.3,46.08420944213868,44.58920440673828,667.535192871094,733.2,94.29473724365235,94.15582275390624,0.016559999808669103,44.58920440673828,0.0,735.4799999999998,71.38514285714281,86.79542857142852,51.59999999999999,63543.2,52328.78,63807.75839999995,52497.21531428567
2021-04-24T08:40:00.0,71.5,71.7,52.0,86.9,54.8,74.5,85.0,65.0,74.0,71.0,3.0,0.0,76.5,73.5,85.0,55.0,40.315788269043,37.907585144043,627.445495605469,656.0,1000.0,400.0,91.8947372436523,91.9323654174805,0.0144000016152859,67.907585144043,0.0,true,true,678.1999999999998,71.64857142857139,87.79142857142853,51.99999999999999,57006.4,47035.200000000004,59540.14685714281,48592.0611428571,71.5,71.61999999999999,52.0,89.52000000000001,54.919999999999995,40.315788269043,38.90756988525392,633.4453979492185,667.6,92.39999847412109,92.18291015625,0.01728000119328502,44.90756988525392,0.0,672.9999999999998,71.61657142857139,89.6228571428571,51.999999999999986,59772.31999999999,47813.28,60315.875314285666,48197.98971428567
