time,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,ahu_supply_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,clg_sp_offset,htg_sp_offset,occupied_clg_sp,occupied_htg_sp,unoccupied_clg_sp,unoccupied_htg_sp,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status,airflow_current_smooth,room_temp_smooth,supply_discharge_temp_smooth,thermostat_outside_temp_smooth,sensible_heat_in,sensible_heat_room,sensible_heat_in_smooth,sensible_heat_room_smooth
2021-04-26T09:37:00.0,72.0,72.3,50.0,59.3,54.7,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,416.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,12.2580642700195,false,true,417.79999999999967,72.27714285714283,59.294285714285685,49.99999999999997,24668.8,30076.8,24773.152571428538,30197.390285714253
2021-04-26T09:38:00.0,72.0,72.2,50.0,58.8,54.8,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,413.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,12.757942199707,false,true,415.0999999999997,72.25142857142855,58.822857142857096,49.99999999999997,24284.399999999998,29818.600000000002,24417.367999999962,29991.567999999967
2021-04-26T09:39:00.0,72.0,72.2,50.0,58.5,54.8,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,419.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,13.2578201293945,false,true,412.3999999999999,72.1828571428571,58.46571428571425,49.99999999999999,24511.5,30251.800000000003,24111.260571428553,29768.210285714264
2021-04-26T09:40:00.0,72.0,72.1,50.0,58.2,54.9,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,13.757698059082,false,true,410.5999999999999,72.08285714285711,58.24285714285711,49.99999999999999,23862.0,29560.999999999996,23914.517142857127,29597.22114285712
2021-04-26T09:41:00.0,71.5,71.9,50.0,58.1,55.0,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,404.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.22425079345703,false,true,409.99999999999994,71.91714285714282,58.04857142857139,49.99999999999999,23472.4,29047.600000000002,23799.91428571427,29486.028571428553
2021-04-26T09:42:00.0,71.5,71.8,50.0,57.9,55.1,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,407.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.31589508056641,false,true,408.19999999999993,71.81714285714281,57.94285714285711,49.99999999999999,23565.3,29222.6,23652.274285714266,29315.75771428569
2021-04-26T09:43:00.0,71.5,71.8,50.0,57.9,55.2,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.31589508056641,false,true,407.5999999999999,71.76571428571424,57.882857142857105,49.99999999999999,23739.0,29438.0,23593.05257142855,29251.705142857118
2021-04-26T09:44:00.0,71.5,71.7,50.0,57.9,55.3,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.31589508056641,false,true,408.79999999999995,71.73428571428568,57.89999999999996,49.99999999999999,23739.0,29397.0,23669.519999999982,29324.97599999998
2021-04-26T09:45:00.0,71.5,71.7,50.0,57.9,55.4,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,407.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.31589508056641,false,true,408.79999999999995,71.67428571428567,57.90857142857139,49.99999999999999,23565.3,29181.9,23673.023999999983,29300.44799999998
2021-04-26T09:46:00.0,71.5,71.6,50.0,57.9,55.4,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.31589508056641,false,true,408.79999999999995,71.59999999999995,57.874285714285676,49.99999999999999,23739.0,29355.999999999996,23659.007999999983,29270.079999999976
