time,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,ahu_supply_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,clg_sp_offset,htg_sp_offset,occupied_clg_sp,occupied_htg_sp,unoccupied_clg_sp,unoccupied_htg_sp,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status,airflow_current_smooth,room_temp_smooth,supply_discharge_temp_smooth,thermostat_outside_temp_smooth,sensible_heat_in,sensible_heat_room,sensible_heat_in_smooth,sensible_heat_room_smooth,thermostat_room_temp_ave,room_temp_ave,thermostat_outside_temp_ave,supply_discharge_temp_ave,ahu_supply_temp_ave,htg_valve_position_ave,htg_valve_command_ave,airflow_desired_ave,airflow_current_ave,damper_position_ave,damper_command_ave,damper_integral_factor_ave,htg_signal_ave,clg_signal_ave,airflow_current_smooth_ave,room_temp_smooth_ave,supply_discharge_temp_smooth_ave,thermostat_outside_temp_smooth_ave,sensible_heat_in_ave,sensible_heat_room_ave,sensible_heat_in_smooth_ave,sensible_heat_room_smooth_ave
2021-04-26T10:00:00.0,70.5,70.9,51.0,57.3,54.9,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,404.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,407.5999999999999,70.87428571428568,57.33428571428568,50.999999999999986,23149.199999999997,28643.600000000002,23369.45485714284,28888.358857142834,71.0,71.20666666666668,50.2,57.539999999999985,55.18666666666665,0.0,0.0,400.0,411.0,69.68421173095702,69.30911254882811,0.018000001087784802,0.0,1.992488098144532,411.0399999999999,71.2060952380952,57.541142857142816,50.199999999999996,23648.84,29265.85333333333,23651.52068571427,29268.441790476172
2021-04-26T10:15:00.0,70.5,70.5,51.0,57.3,55.5,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,400.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,401.4,70.4828571428571,57.28285714285711,50.999999999999986,22920.0,28200.0,22993.338857142844,28291.818857142836,70.5,70.64666666666668,51.0,57.013333333333335,54.933333333333344,0.0,0.0,400.0,407.4,69.68421173095702,69.30911254882811,0.018000001087784802,0.0,0.0,407.31999999999994,70.64723809523804,57.01161904761902,50.99999999999999,23226.693333333336,28781.793333333335,23221.49180952379,28776.354095238068
2021-04-26T10:30:00.0,70.0,70.1,51.0,56.8,55.0,70.5,85.0,65.0,71.0,68.0,3.0,0.0,72.5,69.5,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,408.79999999999995,70.07428571428566,56.81714285714283,50.999999999999986,23288.0,28740.999999999996,23226.847999999984,28646.367999999977,70.0,70.22000000000001,51.0,56.866666666666674,54.779999999999994,0.0,0.0,400.0,405.8666666666667,69.68421173095702,69.30911254882811,0.018000001087784802,0.0,0.0,405.82666666666665,70.21942857142852,56.86838095238092,50.99999999999999,23079.59333333333,28499.640000000003,23078.07234285713,28496.615276190452
2021-04-26T10:45:00.0,69.5,69.8,51.0,56.6,54.4,70.5,85.0,65.0,72.5,69.5,3.0,0.0,72.5,69.5,85.0,55.0,0.0,0.0,400.0,400.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,400.19999999999993,69.79142857142853,56.58285714285711,51.19999999999999,22640.0,27920.0,22644.459428571412,27930.52971428569,69.8,69.94666666666666,51.0,57.02666666666667,55.040000000000006,0.0,0.0,400.0,404.53333333333336,69.68421173095702,69.30911254882811,0.018000001087784802,0.0,0.0,404.53333333333325,69.94780952380947,57.024380952380916,51.01333333333332,23069.62,28295.919999999995,23068.687695238074,28296.383123809497
2021-04-26T11:00:00.0,69.5,69.7,52.0,56.5,54.5,70.0,85.0,65.0,72.5,69.5,3.0,0.0,72.0,69.0,85.0,55.0,0.0,0.0,400.0,407.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,407.5999999999999,69.64857142857139,56.5428571428571,52.19999999999999,22995.5,28367.9,23046.86857142855,28388.75771428569,69.5,69.70666666666668,51.93333333333333,56.91333333333333,55.00000000000001,0.0,0.0,400.0,402.73333333333335,69.68421173095702,69.30911254882811,0.018000001087784802,0.0,0.0,402.8133333333333,69.70495238095235,56.916190476190444,51.93333333333333,22920.713333333333,28072.893333333337,22926.406666666644,28077.789676190452
2021-04-26T11:15:00.0,69.5,69.5,53.0,56.6,54.8,70.0,85.0,65.0,72.0,69.0,3.0,0.0,72.0,69.0,85.0,55.0,0.0,0.0,400.0,404.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,400.19999999999993,69.4828571428571,56.62571428571426,52.99999999999999,22866.4,28078.0,22661.61085714284,27807.039428571406,69.43333333333334,69.50666666666666,52.93333333333333,56.92,55.07333333333333,0.0,0.0,400.0,403.3333333333333,69.68421173095702,69.30911254882811,0.018000001087784802,0.0,0.0,403.2266666666666,69.50780952380948,56.91885714285711,52.919999999999995,22957.893333333333,28034.426666666663,22951.336495238076,28027.467961904742
2021-04-26T11:30:00.0,69.0,69.3,53.0,56.7,54.7,71.5,85.0,65.0,73.5,70.5,3.0,0.0,73.5,70.5,85.0,55.0,0.526315808296204,18.0250015258789,508.149993896484,407.0,1000.0,400.0,69.684211730957,69.3400192260742,0.0144000016152859,18.0250015258789,0.0,true,true,416.19999999999993,69.27428571428567,56.5285714285714,52.99999999999999,23076.9,28205.1,23527.191428571412,28831.95771428569,69.0,69.33999999999997,53.13333333333333,56.900000000000006,55.04000000000001,0.035087720553080265,1.2016667683919267,407.209999593099,405.2,69.68421173095702,69.31117299397785,0.01776000112295154,1.2016667683919267,0.0,406.13333333333327,69.33942857142853,56.88457142857139,53.13333333333332,23056.186666666665,28096.553333333337,23102.66079999998,28160.97805714283
2021-04-26T11:45:00.0,69.5,69.7,53.0,80.1,55.3,71.5,85.0,65.0,73.5,70.5,3.0,0.0,73.5,70.5,85.0,55.0,31.7894744873047,32.7817001342773,596.690185546875,565.0,1000.0,400.0,76.0,76.3357086181641,0.0180000010877848,32.7817001342773,0.0,true,true,568.5999999999999,69.66571428571424,80.09999999999997,52.99999999999999,45256.5,39380.5,45544.85999999997,39611.925142857115,69.13333333333334,69.32666666666665,53.0,72.92666666666668,55.03333333333332,26.33684209187825,28.166189066568997,568.9971150716145,529.5333333333333,74.77894694010416,74.94486999511719,0.017520000661412898,27.76952209472655,0.0,528.7866666666666,69.32609523809519,72.93923809523805,52.99999999999999,38940.020000000004,36715.54666666667,38880.92537142854,36663.33740952378
2021-04-26T12:00:00.0,70.5,70.6,54.0,82.0,55.3,71.0,85.0,65.0,73.5,70.5,3.0,0.0,73.0,70.0,85.0,55.0,31.7894744873047,21.7482604980469,530.489562988281,587.0,1000.0,400.0,76.6315765380859,76.7393035888672,0.0180000010877848,27.7482604980469,0.0,true,true,581.1999999999998,70.57428571428568,81.58857142857138,53.79999999999999,48134.0,41442.2,47419.27771428567,41017.774857142824,70.03333333333333,70.22666666666667,53.2,79.88666666666668,54.940000000000005,31.845614624023412,31.055509440104164,586.336376953125,581.5333333333333,76.58947143554684,76.70627899169921,0.018000001087784802,31.056064860026037,0.0,580.8533333333332,70.22666666666663,79.87638095238091,53.199999999999996,46458.1,40840.95999999999,46397.50799999996,40792.86118095235
2021-04-26T12:15:00.0,70.5,70.7,55.0,76.8,54.5,71.0,85.0,65.0,73.0,70.0,3.0,0.0,73.0,70.0,85.0,55.0,16.5263156890869,14.2483749389648,485.490234375,527.0,1000.0,400.0,74.1052627563477,74.1023864746094,0.0180000010877848,14.2483749389648,0.0,true,true,522.3999999999999,70.67428571428567,76.83428571428567,54.79999999999998,40473.6,37258.9,40138.23085714282,36920.246857142825,70.5,70.66666666666669,54.2,78.2,55.18666666666666,19.894736607869437,17.749987792968746,506.48991292317703,540.1333333333333,74.56841939290365,74.54911651611329,0.017520000661412898,17.747210693359364,0.0,540.4399999999998,70.66723809523806,78.21257142857138,54.213333333333324,42244.193333333336,38169.00666666667,42276.65199999996,38191.022666666635
2021-04-26T12:30:00.0,70.5,70.6,55.0,77.3,55.3,73.0,85.0,65.0,73.0,70.0,3.0,0.0,75.0,72.0,85.0,55.0,11.4736843109131,30.7580184936523,584.698120117187,476.0,1000.0,400.0,72.2105255126953,72.1747894287109,0.0144000016152859,30.7830200195312,0.0,true,true,495.1999999999999,70.56571428571425,77.41142857142853,54.999999999999986,36794.799999999996,33605.6,38334.1394285714,34944.14171428569,70.5,70.58666666666667,55.0,76.46,54.90666666666666,13.157894770304361,11.853338114420561,471.1100219726562,495.6666666666667,72.8842091878255,72.81027069091799,0.01776000112295154,11.851116943359367,0.0,497.17333333333323,70.58609523809518,76.46571428571424,54.986666666666665,37897.48,34987.50666666667,38017.73645714284,35093.61836190474
2021-04-26T12:45:00.0,71.0,71.3,55.0,87.7,55.0,73.0,85.0,65.0,75.0,72.0,3.0,0.0,75.0,72.0,85.0,55.0,41.5789489746094,44.7406463623047,668.44384765625,644.0,1000.0,400.0,78.5263137817383,78.6629104614258,0.0180000010877848,44.7406463623047,0.0,true,true,643.7999999999998,71.23999999999995,87.76857142857138,54.79999999999998,56478.8,45917.2,56505.40628571424,45864.311999999954,70.7,70.86,55.0,83.61333333333333,55.086666666666666,38.14035148620606,39.858590698242196,639.1715291341147,606.2666666666667,77.34736735026041,77.48008422851562,0.017520000661412898,39.86192423502605,0.0,605.1066666666666,70.86057142857138,83.60190476190472,54.98666666666666,50798.520000000004,42968.86,50698.497866666636,42886.90392380949
