time,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,ahu_supply_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,clg_sp_offset,htg_sp_offset,occupied_clg_sp,occupied_htg_sp,unoccupied_clg_sp,unoccupied_htg_sp,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status,airflow_current_smooth,room_temp_smooth,supply_discharge_temp_smooth,thermostat_outside_temp_smooth,sensible_heat_in,sensible_heat_room,sensible_heat_in_smooth,sensible_heat_room_smooth,thermostat_room_temp_ave,room_temp_ave,thermostat_outside_temp_ave,supply_discharge_temp_ave,ahu_supply_temp_ave,htg_valve_position_ave,htg_valve_command_ave,airflow_desired_ave,airflow_current_ave,damper_position_ave,damper_command_ave,damper_integral_factor_ave,htg_signal_ave,clg_signal_ave,airflow_current_smooth_ave,room_temp_smooth_ave,supply_discharge_temp_smooth_ave,thermostat_outside_temp_smooth_ave,sensible_heat_in_ave,sensible_heat_room_ave,sensible_heat_in_smooth_ave,sensible_heat_room_smooth_ave
2021-04-26T09:45:00.0,71.5,71.7,50.0,57.9,55.4,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,407.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.31589508056641,false,true,408.79999999999995,71.67428571428567,57.90857142857139,49.99999999999999,23565.3,29181.9,23673.023999999983,29300.44799999998,71.5,71.78,50.0,57.94,55.2,0.0,0.0,400.0,407.6,69.684211730957,69.3091125488281,0.0180000010877848,0.0,8.297566223144534,408.67999999999995,71.78171428571424,57.93657142857139,49.99999999999999,23616.2,29257.420000000002,23677.557028571406,29335.78308571426
2021-04-26T09:50:00.0,71.0,71.4,50.0,57.7,55.1,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,1.49109649658203,false,true,411.19999999999993,71.36571428571423,57.67428571428569,49.99999999999999,23657.0,29274.000000000004,23715.66628571427,29345.581714285687,71.3,71.47999999999999,50.0,57.779999999999994,55.36,0.0,0.0,400.0,409.4,69.684211730957,69.3091125488281,0.0180000010877848,0.0,5.680952453613284,409.64,71.47828571428568,57.77657142857139,49.99999999999999,23655.120000000003,29263.9,23667.534171428553,29280.29885714284
2021-04-26T09:55:00.0,71.0,71.1,50.0,57.3,55.2,69.5,85.0,65.0,71.5,68.5,3.0,0.0,71.5,68.5,85.0,55.0,0.0,0.0,400.0,413.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,413.5999999999999,71.06571428571425,57.351428571428535,49.99999999999999,23664.899999999998,29364.3,23720.550857142836,29392.779428571408,71.0,71.2,50.0,57.44,54.980000000000004,0.0,0.0,400.0,413.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.2965118408203124,412.64,71.19999999999996,57.446857142857105,49.99999999999999,23722.719999999998,29405.539999999997,23704.79611428569,29379.894628571405
2021-04-26T10:00:00.0,70.5,70.9,51.0,57.3,54.9,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,404.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,407.5999999999999,70.87428571428568,57.33428571428568,50.999999999999986,23149.199999999997,28643.600000000002,23369.45485714284,28888.358857142834,70.7,70.94000000000001,50.6,57.4,55.21999999999999,0.0,0.0,400.0,410.6,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,410.84,70.93999999999997,57.39999999999996,50.59999999999999,23568.68,29128.120000000003,23582.231771428553,29145.131885714265
2021-04-26T10:05:00.0,70.5,70.8,51.0,56.8,54.6,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,413.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,411.19999999999993,70.77428571428567,56.748571428571395,50.999999999999986,23458.399999999998,29240.399999999998,23335.012571428553,29102.386285714263,70.5,70.8,51.0,56.96,54.46,0.0,0.0,400.0,409.4,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,409.15999999999985,70.79999999999995,56.951428571428536,50.999999999999986,23318.92,28985.52,23301.86148571427,28968.50948571426
2021-04-26T10:10:00.0,70.5,70.6,51.0,57.0,54.8,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,404.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,406.79999999999995,70.57428571428568,56.99999999999997,50.999999999999986,23028.0,28522.399999999998,23187.599999999988,28709.619428571412,70.5,70.64000000000001,51.0,56.94,55.0,0.0,0.0,400.0,410.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,409.56,70.63999999999996,56.943428571428534,50.999999999999986,23345.28,28962.460000000003,23321.6225142857,28931.424457142835
2021-04-26T10:15:00.0,70.5,70.5,51.0,57.3,55.5,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,400.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,401.4,70.4828571428571,57.28285714285711,50.999999999999986,22920.0,28200.0,22993.338857142844,28291.818857142836,70.5,70.5,51.0,57.14,55.339999999999996,0.0,0.0,400.0,402.8,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,403.23999999999995,70.50171428571424,57.13999999999997,50.999999999999986,23015.879999999997,28397.4,23040.991428571415,28429.128342857126
2021-04-26T10:20:00.0,70.0,70.3,51.0,56.9,54.7,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,397.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,402.19999999999993,70.29999999999995,56.891428571428534,50.999999999999986,22589.3,27909.1,22881.732571428554,28274.659999999978,70.0,70.32000000000001,51.0,57.1,54.980000000000004,0.0,0.0,400.0,400.2,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,400.67999999999995,70.32171428571425,57.09828571428568,50.999999999999986,22851.46,28142.059999999998,22878.06388571427,28176.492114285695
2021-04-26T10:25:00.0,70.0,70.2,51.0,56.7,54.6,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,409.99999999999994,70.17428571428567,56.73428571428568,50.999999999999986,23247.0,28782.0,23261.057142857127,28771.45714285712,70.0,70.24,51.0,56.760000000000005,54.56,0.0,0.0,400.0,409.2,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,408.35999999999996,70.2365714285714,56.76342857142854,50.999999999999986,23226.04,28742.04,23179.858399999983,28681.71177142855
2021-04-26T10:30:00.0,70.0,70.1,51.0,56.8,55.0,70.5,85.0,65.0,71.0,68.0,3.0,0.0,72.5,69.5,85.0,55.0,0.0,0.0,400.0,410.0,1000.0,400.0,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,false,true,408.79999999999995,70.07428571428566,56.81714285714283,50.999999999999986,23288.0,28740.999999999996,23226.847999999984,28646.367999999977,70.0,70.1,51.0,56.739999999999995,54.8,0.0,0.0,400.0,408.2,69.684211730957,69.3091125488281,0.0180000010877848,0.0,0.0,408.43999999999994,70.09999999999995,56.743428571428545,50.999999999999986,23161.28,28614.819999999996,23176.294742857128,28631.641942857117
