time,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,ahu_supply_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,clg_sp_offset,htg_sp_offset,occupied_clg_sp,occupied_htg_sp,unoccupied_clg_sp,unoccupied_htg_sp,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status,airflow_current_smooth,room_temp_smooth,supply_discharge_temp_smooth,thermostat_outside_temp_smooth,sensible_heat_in,sensible_heat_room,sensible_heat_in_smooth,sensible_heat_room_smooth
2021-04-25T10:43:00.0,74.0,74.1,58.0,80.6,55.1,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,63.0526313781738,58.4501113891602,750.700622558594,874.0,1000.0,400.0,85.0526351928711,84.7594909667969,0.0158399995416403,58.4501113891602,0.0,true,true,842.9999999999993,74.09999999999995,80.71999999999997,57.999999999999986,70444.4,64763.399999999994,68046.95999999992,62466.29999999991
2021-04-25T10:44:00.0,74.0,74.0,58.0,81.5,55.0,72.0,85.0,65.0,74.0,71.0,3.0,0.0,74.0,71.0,85.0,55.0,57.8947372436523,55.4584884643555,732.750915527344,811.0,1000.0,400.0,83.1578979492188,82.8978652954102,0.0165599994361401,55.4084930419922,0.0,true,true,826.8999999999993,74.01999999999995,81.09999999999995,57.999999999999986,66096.5,60014.0,67061.58999999991,61207.13799999991
2021-04-25T10:45:00.0,74.0,74.0,58.0,82.4,55.0,74.0,85.0,65.0,74.0,71.0,3.0,0.0,76.0,73.0,85.0,55.0,56.2105255126953,52.7252578735351,716.3515625,779.0,1000.0,400.0,82.5263137817383,82.1881256103516,0.0136799989268184,82.7085952758789,0.0,true,true,810.7999999999998,73.93999999999997,82.87999999999997,57.99999999999999,64189.600000000006,57646.0,67199.10399999996,59950.55199999997
2021-04-25T10:46:00.0,73.5,73.8,58.0,86.3,55.0,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,82.2003784179687,893.202270507813,782.0,1000.0,400.0,83.7894744873047,84.1672897338867,0.0143999997526407,82.1920471191406,0.0,true,true,803.1999999999998,73.85999999999996,86.41999999999994,57.99999999999999,67486.59999999999,57711.6,69412.54399999994,59324.351999999955
2021-04-25T10:47:00.0,73.5,73.8,58.0,90.6,54.9,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,81.7005004882812,890.203002929688,808.0,1000.0,400.0,85.684211730957,85.9644622802734,0.0151199977844954,81.6921691894531,0.0,true,true,812.5999999999998,73.76571428571424,90.2228571428571,57.99999999999999,73204.79999999999,59630.399999999994,73315.09371428566,59942.01942857137
2021-04-25T10:48:00.0,73.5,73.7,58.0,91.3,54.9,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,81.2006225585937,887.203735351562,836.0,1000.0,400.0,86.9473648071289,87.2257843017578,0.0158399976789951,81.1922912597656,0.0,true,true,829.7999999999998,73.69142857142853,91.03428571428566,57.99999999999999,76326.8,61613.200000000004,75540.25028571422,61149.147428571385
2021-04-25T10:49:00.0,73.5,73.6,58.0,88.8,55.2,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,80.7007446289062,884.204467773438,858.0,1000.0,400.0,86.9473648071289,87.4530944824219,0.0165599957108498,80.6924133300781,0.0,true,true,846.3999999999999,73.64285714285711,89.03999999999994,57.99999999999999,76190.4,63148.799999999996,75363.45599999993,62331.314285714245
2021-04-25T10:50:00.0,73.5,73.7,58.0,86.6,54.9,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,80.1925354003906,881.155212402344,865.0,1000.0,400.0,86.9473648071289,87.4530944824219,0.0172799956053495,80.1925354003906,0.0,true,true,857.7999999999998,73.66571428571424,86.71999999999994,57.99999999999999,74909.0,63750.5,74388.41599999994,63190.44971428567
2021-04-25T10:51:00.0,73.5,73.7,58.0,85.4,54.7,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,79.7009887695312,878.205932617188,865.0,1000.0,400.0,86.9473648071289,87.4530944824219,0.0179999954998493,79.6926574707031,0.0,true,true,864.1999999999998,73.70857142857139,85.32285714285709,57.99999999999999,73871.0,63750.5,73736.01314285707,63698.94742857138
2021-04-25T10:52:00.0,73.5,73.7,58.0,84.5,54.7,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,79.2011108398437,875.156677246094,865.0,1000.0,400.0,86.9473648071289,87.4530944824219,0.0180000010877848,79.1927795410156,0.0,true,true,865.5999999999998,73.69142857142853,84.49999999999994,57.99999999999999,73092.5,63750.5,73143.19999999994,63787.300571428525
2021-04-25T10:53:00.0,73.5,73.7,58.0,84.1,54.7,74.0,85.0,65.0,76.0,73.0,3.0,0.0,76.0,73.0,85.0,55.0,80.5263137817383,78.7012329101562,872.207397460937,868.0,1000.0,400.0,86.9473648071289,87.4530944824219,0.0180000010877848,78.6929016113281,0.0,true,true,864.8,73.72571428571425,84.20285714285708,57.99999999999999,72998.79999999999,63971.600000000006,72818.63085714281,63757.99771428568
